timestamp,employee_id,department,daily_ot_hours,pto_hours_taken,unplanned_absence,slack_msg_count,pulse_sentiment_score,burnout_risk_score
2026-07-15 00:00:00,EMP-1001,Finance,0,0,0,92,7.1,19
2026-07-15 00:00:00,EMP-1002,Engineering,2.7,0,0,121,6.6,42
2026-07-15 00:00:00,EMP-1003,Product,0.5,0,0,74,6.2,23
2026-07-15 00:00:00,EMP-1004,Sales,0.4,0,0,84,7.2,18
2026-07-15 00:00:00,EMP-1005,Customer Success,0.8,0,0,108,7.1,24
2026-07-15 00:00:00,EMP-1006,HR,0,0,0,75,7.3,11
2026-07-15 00:00:00,EMP-1007,Finance,0,0,0,112,10,10
2026-07-15 00:00:00,EMP-1008,Engineering,2.9,0,0,115,8.2,38
2026-07-15 00:00:00,EMP-1009,Product,1.4,0,0,89,6.7,26
2026-07-15 00:00:00,EMP-1010,Sales,0.1,0,0,96,6.9,22
2026-07-15 00:00:00,EMP-1011,Customer Success,0,0,0,50,7.6,11
2026-07-15 00:00:00,EMP-1012,HR,0,0,0,79,6.1,26
2026-07-15 00:00:00,EMP-1013,Finance,0.3,0,0,114,6.5,25
2026-07-15 00:00:00,EMP-1014,Engineering,0.6,0,0,80,7.6,16
2026-07-15 00:00:00,EMP-1015,Product,0.9,0,0,68,7.2,24
2026-07-15 00:00:00,EMP-1016,Sales,2.3,0,0,69,7.2,32
2026-07-15 00:00:00,EMP-1017,Customer Success,0,0,0,111,7.9,13
2026-07-15 00:00:00,EMP-1018,HR,0.5,0,0,49,7,23
2026-07-15 00:00:00,EMP-1019,Finance,1.1,0,0,113,7.1,24
2026-07-15 00:00:00,EMP-1020,Engineering,1.9,0,0,154,7,36
2026-07-15 00:00:00,EMP-1021,Product,0.2,0,0,75,8.3,14
2026-07-15 00:00:00,EMP-1022,Sales,0.1,0,0,88,5.3,28
2026-07-15 00:00:00,EMP-1023,Customer Success,0.4,0,0,64,6.2,27
2026-07-15 00:00:00,EMP-1024,HR,0,0,0,91,6.7,17
2026-07-15 00:00:00,EMP-1025,Finance,1.8,0,0,110,6.3,31
2026-07-15 00:00:00,EMP-1026,Engineering,1.4,0,0,128,9.2,20
2026-07-15 00:00:00,EMP-1027,Product,0,0,1,0,8.2,25
2026-07-15 00:00:00,EMP-1028,Sales,1.4,0,0,120,5.1,40
2026-07-15 00:00:00,EMP-1029,Customer Success,2.1,0,0,98,6.8,33
2026-07-15 00:00:00,EMP-1030,HR,0,0,0,46,6.9,19
2026-07-15 00:00:00,EMP-1031,Finance,0,0,0,123,5.9,25
2026-07-15 00:00:00,EMP-1032,Engineering,1.1,0,0,94,7.7,26
2026-07-15 00:00:00,EMP-1033,Product,0,8,0,0,6.9,19
2026-07-15 00:00:00,EMP-1034,Sales,1.1,0,0,117,5.8,31
2026-07-15 00:00:00,EMP-1035,Customer Success,2.6,0,0,79,7.6,32
2026-07-15 00:00:00,EMP-1036,HR,1.8,0,0,60,5.5,37
2026-07-15 00:00:00,EMP-1037,Finance,0,0,0,101,5.6,25
2026-07-15 00:00:00,EMP-1038,Engineering,2.4,0,0,153,5.9,40
2026-07-15 00:00:00,EMP-1039,Product,0,0,0,88,5.2,28
2026-07-15 00:00:00,EMP-1040,Sales,0,8,0,0,5.9,26
2026-07-15 00:00:00,EMP-1041,Customer Success,1.5,0,0,121,6.5,32
2026-07-15 00:00:00,EMP-1042,HR,3.8,0,0,154,6.8,44
2026-07-15 00:00:00,EMP-1043,Finance,0.5,0,0,89,7.5,22
2026-07-15 00:00:00,EMP-1044,Engineering,0,0,1,0,6.4,40
2026-07-15 00:00:00,EMP-1045,Product,0,0,0,70,6.7,15
2026-07-15 00:00:00,EMP-1046,Sales,0,0,0,89,7.3,18
2026-07-15 00:00:00,EMP-1047,Customer Success,2.3,0,0,57,5.2,51
2026-07-15 00:00:00,EMP-1048,HR,0,0,0,106,8.1,11
2026-07-15 00:00:00,EMP-1049,Finance,1.6,0,0,69,7.2,33
2026-07-15 00:00:00,EMP-1050,Engineering,1.8,0,0,90,7.4,32
2026-07-15 00:00:00,EMP-1051,Product,0.8,0,0,89,5.4,30
2026-07-15 00:00:00,EMP-1052,Sales,0,0,0,54,8.2,14
2026-07-15 00:00:00,EMP-1053,Customer Success,2.3,0,0,44,6.2,40
2026-07-15 00:00:00,EMP-1054,HR,1.8,0,0,67,7.6,27
2026-07-15 00:00:00,EMP-1055,Finance,0,0,0,95,8.8,10
2026-07-15 00:00:00,EMP-1056,Engineering,0.6,0,0,120,7.3,18
2026-07-15 00:00:00,EMP-1057,Product,0,0,0,43,5.9,28
2026-07-15 00:00:00,EMP-1058,Sales,2.5,0,0,46,6.4,41
